anchor_date,route,horizon_days,model,mae,rmse,wmape
2017-08-01,DME-KHV,1,seasonal7,20.0,20.0,0.095238097012043
2017-08-01,DME-KHV,7,timesfm,13.391560554504395,14.574221890913625,0.06710159033536911
2017-08-01,DME-KHV,7,naive_last,13.857142448425293,18.26393828423625,0.0694345012307167
2017-08-01,DME-KHV,7,seasonal7,17.285715103149414,24.695285313177063,0.08661417663097382
2017-08-01,DME-KHV,14,timesfm,21.032716751098633,27.10888643291739,0.10139739513397217
2017-08-01,DME-KHV,14,naive_last,19.14285659790039,26.589471600616662,0.09228650480508804
2017-08-01,DME-KHV,14,seasonal7,22.428571701049805,28.977824183909906,0.10812672227621078
2017-08-01,DME-KRR,1,timesfm,10.504959106445312,10.504959025314433,0.058360882103443146
2017-08-01,DME-KRR,1,naive_last,5.0,5.0,0.02777777798473835
2017-08-01,DME-KRR,1,seasonal7,31.0,31.0,0.17222222685813904
2017-08-01,DME-KRR,7,timesfm,9.94328784942627,12.93720808943777,0.05528436228632927
2017-08-01,DME-KRR,7,naive_last,7.4285712242126465,8.928285770751248,0.041302621364593506
2017-08-01,DME-KRR,7,seasonal7,19.285715103149414,25.975263125396705,0.10722795873880386
2017-08-01,DME-KRR,14,timesfm,15.975730895996094,21.55508604991269,0.08642203360795975
2017-08-01,DME-KRR,14,naive_last,17.285715103149414,22.341505159303907,0.09350850433111191
2017-08-01,DME-KRR,14,seasonal7,23.85714340209961,29.39873646207276,0.12905718386173248
2017-08-01,DME-KUF,1,timesfm,16.83008575439453,16.83008617141069,0.12021490186452866
2017-08-01,DME-KUF,1,naive_last,33.0,33.0,0.23571428656578064
2017-08-01,DME-KUF,1,seasonal7,4.0,4.0,0.02857142873108387
2017-08-01,DME-KUF,7,timesfm,22.600860595703125,28.27579906896145,0.1582060307264328
2017-08-01,DME-KUF,7,naive_last,35.85714340209961,39.0658779789425,0.25099998712539673
2017-08-01,DME-KUF,7,seasonal7,25.14285659790039,29.76095251220286,0.17599999904632568
2017-08-01,DME-KUF,14,timesfm,20.254093170166016,25.569730076623927,0.1407930999994278
2017-08-01,DME-KUF,14,naive_last,36.85714340209961,40.32369030731191,0.25620654225349426
